Date, Close, Volume, Open, High, Low
06/12/2020, 304.21, 194678900, 308.24, 309.08, 298.6
06/11/2020, 300.61, 209243600, 311.46, 312.15, 300.01
06/10/2020, 319, 95000770, 321.42, 322.39, 318.2209
06/09/2020, 320.79, 77479230, 320.3, 323.2849, 319.36
06/08/2020, 323.2, 73641220, 320.22, 323.41, 319.63
06/05/2020, 319.34, 150524700, 317.23, 321.275, 317.16
06/04/2020, 311.36, 75794360, 311.11, 313, 309.08
06/03/2020, 312.18, 92567570, 310.24, 313.22, 309.94
06/02/2020, 308.08, 74267160, 306.55, 308.13, 305.1
06/01/2020, 305.55, 56779840, 303.62, 306.205, 303.06
05/29/2020, 304.32, 119265700, 302.46, 304.96, 299.47
05/28/2020, 302.97, 90767810, 304.65, 306.84, 302.24
05/27/2020, 303.53, 104817400, 302.12, 303.57, 296.87
05/26/2020, 299.08, 88951440, 301.93, 302.19, 295.4646
05/22/2020, 295.44, 63958200, 294.57, 295.63, 293.22
05/21/2020, 294.88, 78293930, 296.79, 297.67, 293.6886
05/20/2020, 296.93, 85861690, 295.82, 297.87, 295.57
05/19/2020, 291.97, 95189320, 294.35, 296.205, 291.95
05/18/2020, 295, 120320200, 293.05, 296.75, 292.7
05/15/2020, 286.28, 111146300, 282.37, 286.33, 281.34
05/14/2020, 284.97, 121977900, 278.95, 285.11, 272.99
05/13/2020, 281.6, 144721100, 286.06, 287.19, 278.965
05/12/2020, 286.67, 95870790, 293.79, 294.24, 286.52
05/11/2020, 292.5, 79514230, 290.34, 294, 289.88
05/08/2020, 292.44, 76622130, 291.09, 292.95, 289.86
05/07/2020, 287.68, 75250410, 287.75, 289.78, 287.13
05/06/2020, 284.25, 73632630, 288.04, 288.46, 283.78
05/05/2020, 286.19, 79569940, 286.64, 289.25, 283.7134
05/04/2020, 283.57, 80873210, 280.74, 283.9, 279.13
05/01/2020, 282.79, 125180000, 285.31, 290.6572, 281.52
04/30/2020, 290.48, 122901700, 291.71, 293.3239, 288.59
04/29/2020, 293.21, 118745600, 291.53, 294.88, 290.41
04/28/2020, 285.73, 105270000, 291.02, 291.4, 285.4
04/27/2020, 287.05, 77896610, 285.12, 288.27, 284.62
04/24/2020, 282.97, 85165950, 280.73, 283.7, 278.5
04/23/2020, 279.08, 104709700, 280.49, 283.94, 278.75
04/22/2020, 279.1, 93524580, 278.35, 281, 276.91
04/21/2020, 273.04, 126385700, 276.73, 278.04, 272.02
04/20/2020, 281.59, 100109300, 282.61, 286.7912, 281.35
04/17/2020, 286.64, 146684800, 285.38, 287.3, 282.4
04/16/2020, 279.1, 131798300, 279.15, 280.03, 275.76
04/15/2020, 277.76, 121775000, 277.57, 283.9407, 275.46
04/14/2020, 283.79, 134143400, 280.98, 284.9, 275.5106
04/13/2020, 275.66, 114839100, 277.14, 277.51, 271.41
04/09/2020, 278.2, 190282700, 277.58, 281.2, 275.47
04/08/2020, 274.03, 153774500, 267.96, 276, 265.2542
04/07/2020, 265.13, 201427200, 274.21, 275.03, 264.89
04/06/2020, 264.86, 188061200, 257.84, 267, 248.1698
04/03/2020, 248.19, 135561200, 250.76, 253.32, 245.22
04/02/2020, 251.83, 177660400, 245.19, 252.68, 244.59
04/01/2020, 246.15, 189554600, 247.98, 257.6591, 243.9
03/31/2020, 257.75, 194881100, 260.56, 263.33, 256.22
03/30/2020, 261.65, 170961900, 255.7, 262.43, 253.53
03/27/2020, 253.42, 224341200, 253.27, 260.81, 251.05
03/26/2020, 261.2, 257632800, 249.52, 262.8, 249.05
03/25/2020, 246.79, 299430300, 244.87, 256.35, 239.75
03/24/2020, 243.15, 235494500, 234.42, 244.1, 233.8
03/23/2020, 222.95, 326025200, 228.19, 229.6833, 218.26
03/20/2020, 228.8, 347158800, 242.53, 244.47, 228.5
03/19/2020, 240.51, 289322000, 239.25, 247.38, 232.22
03/18/2020, 240, 327597100, 236.25, 248.37, 228.02
03/17/2020, 252.8, 262070500, 245.04, 256.17, 237.07
